Character,Pinyin
在,"zài   -  in, at, on"
有,"yǒu   -  have, possess"
个,"gè   -  piece, item "
我,"wǒ   -  I, me, ego, self "
不,"bù   -  no "
这,"zhè   -  now, this"
了,le   -  entirely 
他,"tā   -  he, she, it, they
	in object position) "
也,"yě   -  also "
就,"jiù   -  then, at once"
人,"rén   -  person "
都,"dōu   -  all, even,"
说,"shuō   -  speak, talk, explain "
而,ér   -  conj: and yet
我们,wǒmen   -  we
你,nǐ   -  you 
了,le   -  particle: indicating new situation;
要,"yào   -  want, need"
会,"huì   -  to be able, can "
对,"duì   -  correct "
及,"jí   -  to reach "
和,"hé   -  and"
与,"yǔ   -  and, together with"
以,"yǐ   -  because of"
很,"hěn   - greatly, terribly"
种,zhǒng   -  m.[kind] 
的,de   -  particle: emphasizing an action
大,"dà   -  big"
能,néng   -  can or to be capable of
着,zhe   -  [aspect]
她,"tā   -  she, her, he"
那,nà   -  det.: that
上,"shàng   -  on, above "
但,"dàn   -  conj.: but, still "
年,nián   -  year 
还,"hái   -  besides"
可以,"kěyǐ   -  can, may"
最,"zuì   -  most"
自己,"zìjǐ   -  oneself"
为,wéi   -  by
来,lái   -  to 
所,suǒ   -  that which
他们,tāmen   -  they
两,"liǎng   -  two of"
各,"gè   -  det.: each, every "
可,"kě   -  can, may "
为,"wéi   -  be, become"
或,"huò   -  conj.: or, either or "
好,hǎo   -  good 
等,"děng   -  conj.: and so on, etc "
又,"yòu   -  again, moreover"
将,jiāng   -  be about to 
因为,"yīnwèi   -  conj.: because"
于,"yū   -  in"
由,"yóu   -  from"
从,"cóng   -  from, since, through "
更,"gèng   -  more, furthermore "
被,bèi   -  by 
才,"cái   -  then and only then, just now"
已,yǐ   -  already
者,"zhě   -  nominal suffix, one who, -er"
每,měi   -  det.: every 
次,"cì   -  order, sequence, next "
把,bǎ   -  indicating pre-verbal object 
三,sān   -  det.: three 
什么,"shéme   -  anything, what"
问题,"wèntí   -  problem, question"
其,"qí   -  det.:this, that "
让,"ràng   -  allow. "
此,"cǐ   -  this, det.: this, here"
做,"zuò   -  make, do "
再,"zài   -  again"
所以,"suǒyǐ   -  conj: as a result"
只,"zhǐ   -  only, merely "
与,"yǔ   -  with, to"
则,"zé   -  then, in that case"
台湾,táiwān   -  Taiwan
却,"què   -  however, but"
并,"bìng   -  to be side by side"
位,"wèi   -  location, condition "
想,"xiǎng   -  think "
去,"qù   -  to go "
呢,"ne   -  particle: questioning"
学生,"xuéshēng   -  student"
表示,"biǎoshì   -  demonstrate, exhibit"
公司,"gōngsī   -  place of business"
将,jiāng   -  introducing object of main verb 
如果,rúguǒ   -  conj.: if 
社会,"shèhuì   -  community, public"
看,"kàn   -  see "
小,"xiǎo   -  small "
天,tiān   -  sky
因此,"yīncǐ   -  conj.: therefore, consequently"
新,"xīn   -  new, fresh, up-to-date "
但是,"dànshì   -  conj.: but, yet, still"
它,"tā   -  they"
中,"zhōng   -  center, middle, interior "
工作,"gōngzuò   -  work, job"
全,"quán   -  det.: all, Surname, whole, Quan "
觉得,"juéde   -  reckon"
使用,"shǐyòng   -  use"
这些,zhèxiē   -  det.: these
里,lǐ   -  inside 
并,"bìng   -  actually, truly "
由于,yóuyú   -  conj.: owing/due/thanks to
时候,"shíhòu   -  day, moment"
知道,"zhīdào   -  understand"
一,yī   - one
认为,"rènwéi   -  believe, think"
时间,"shíjiān   -  moment, day"
事,"shì   -  responsibility, trouble "
过,guò   -  [aspect] 
向,"xiàng   -  to, towards "
可能,"kěnéng   -  probably, maybe"
中国,"zhōngguó   -  China"
美国,"měiguó   -   U.S.A"
到,"dào   -  arrive, reach, go to "
和,hé   -  together) with
几,"jǐ   -  det.: how many "
系统,"xìtǒng   -  organization, program"
政府,"zhèngfǔ   -  government"
大家,"dàjiā   -  all of us, everyone"
国家,"guójiā   -  state, country"
许多,"xǔduō   -  lot, scores"
生活,"shēnghuó   -  life, existence"
跟,"gēn   -  with, to, from "
已经,yǐjīng   -  already
大学,"dàxué   -  university, college"
研究,"yánjiù   -  study, research"
因,"yīn   -  conj.: because, as "
本,běn   -  det.: this 
二,"èr   -  det.: two, second"
活动,"huódòng   -  activity"
该,"gāi   -  det.: this, that "
世界,"shìjiè   -  world"
应,"yīng   -  should, ought to"
四,sì   -  det.: four
希望,"xīwàng   -  hope, wish"
方式,"fāngshì   -  path, plan"
啊,ā   -  particle: exclamation
下,xià   -  under (condition/fact etc.) 
环境,"huánjìng   - circumstances"
一些,"yīxiē   -  det.: some, a few, a little"
必须,bìxū   -  must
文化,"wénhuà   -  civilization, culture"
高,"gāo   -  tall, high "
孩子,"háizi   -  kid, child"
没有,"méiyǒu   -  not have"
不能,"bùnéng   -  must/may/can not"
如,"rú   -  according to, for example"
开始,"kāishǐ   -  begin, start"
元,"yuán   -  money"
不同,bùtóng   -  different
仍,"réng   -  yet, anyway, still"
网路,"wǎnglù   -  Internet"
日本,"rìběn   -  Japan"
用,yòng   -  with 
中心,"zhōngxīn   -  center, heart, hub"
来,"lái   -  come, arrive "
对,duì   -  right; correct 
虽然,"suīrán   -  conj.: though, although"
重要,"zhòngyào   -  important"
地方,"dìfāng   -  space, place, local"
进行,"jìnxíng   -  be in progress, go on"
关系,"guānxì   -  relation"
市场,"shìchǎng   - marketplace, grocery story"
太,"tài   -  too, very"
老师,"lǎoshī   -  teacher"
提供,"tígōng   -  provide"
学校,"xuéxiào   -  school"
应该,"yīnggāi   -  should, ought to"
指出,"zhǐchū   -  point out"
经济,"jīngjì   -  economy"
其他,"qítā   -  det.: others, the rest, other, else"
家,"jiā   -  family, household  "
发展,"fāzhǎn   -  develop, expand, grow"
教育,jiàoyū   -  education
成为,"chéngwéi   -  find, join, comprise, turn"
多,"duō   -  many"
非常,"fēicháng   - very, extremely"
便,"biàn   -  soon afterwards"
方面,"fāngmiàn   -  side, aspect"
很多,"hěnduō   -  a lot"
吃,"chī   -  eat"
然后,"ránhòu   -  therewith, and so"
未,"wèi   -  or not (at end of sentence)"
发现,"fāxiàn   -  find, discover"
电脑,"diànnǎo   -  computer"
一样,"yīyàng   -  same, equal, similar"
而且,"érqiě   -  conj.: furthermore, and"
心,"xīn   -  heart"
不过,"búguò   -  conj.: but, however, only"
无法,"wúfǎ   -  nohow, unable to"
企业,"qǐyè   -  proposition, business enterprise"
正,"zhèng   -  precisely, punctually "
服务,"fúwù   -  be in the service of"
较,"jiào   -  rather "
不会,búhuì   -  won't
台湾,táiwān   -  Taiwan
曾,"zēng   -  once, ever, before"
吗,mā   -  particle: questioning
空间,"kōngjiān   -  space, place"
看到,"kàndào   -  view, sight of"
五,wǔ   -  five 
如何,rúhé   -  how
国内,"guónèi   -  interior (of country), home"
们,"men   -  nouns of persons"
无,"wú   -  not have, there is not"
对于,"duìyú   -  in regard) to, toward, at, for"
以及,"yǐjí   -  conj.: as well as, along with, and"
之后,"zhīhòu   -  later"
可是,"kěshì   -  conj.: but, yet, however"
当,"dāng   -  when, while"
人员,"rényuán   -  strength, personnel, staff"
比,"bǐ   -  compared with"
先,"xiān   -  earlier, in advance, before"
产品,"chǎnpǐn   -  merchandise"
资讯,"zīxùn   -  news, info"
资料,"zīliào   -  information"
比较,"bǐjiào   -  relatively, fairly"
先生,"xiānshēng   -  Sir, gentleman"
地,"dì   -  land"
除了,"chúle   -  except, besides"
大陆,"dàlù   -  Mainland China"
需要,"xūyào   -  need"
像,"xiàng   -  be like"
在,"zài   -  at (location)"
给,"gěi   -  give, give to"
岁,"suì   -  year"
请,"qǐng   -  request, ask (a favor)"
月,"yuè   -  moon"
些,"xiē   -  some"
名,"míng   -  name, surname"
另,"lìng   -  det.: another"
若,"ruò   -  conj: if, as if"
亦,"yì   -  also, too"
地区,"dìqū   -  section, country"
技术,"jìshù   -  mechanics, know-how"
至,"zhì   -  to, until, till"
特别,"tèbié   -  unusual, specially"
其实,"qíshí   -  in fact"
国际,"guójì   -  international"
不要,"búyào   -  don't want"
发生,"fāshēng   -  happen, occur, take place"
参加,"cānjiā   -  join, attend"
一定,"yīdìng   -  must"
其中,"qízhōng   -  among, of them"
问,"wèn   -  ask, question"
台北,"táiběi   -  Taipei"
包括,"bāokuò   -  consist of"
讲,"jiǎng   -  talk"
造成,"zàochéng   -  give rise to"
看,"kàn   -  think, see"
像,"xiàng   -  be like"
常常,"cháng cháng   -  often, usually"
即,"jí   -  at present"
喜欢,"xǐhuān   -  like"
去,"qù   -  go to"
没,méi   -  not
出现,"chūxiàn   -  appear, emerge"
政治,"zhèngzhì   -  politics"
话,"huà   -  talk, speech"
走,"zǒu   -  go"
单位,"dānwèi   -  department, unit"
一直,"yīzhí   -  continuously, all the way"
吧,"ba   -  particle: uncertainty"
是否,"shìfǒu   -  whether or not"
当然,"dāngrán   -  certainly, of course"
处理,"chǔlǐ   -  handle, deal with"
历史,"lìshǐ   -  history"
了解,"liǎojiě   -  understand, comprehend"
那,"nà   -  then, in that case"
怎么,"zěnme   -  how"
机会,"jīhuì   -  opportunity"
家,"jiā   -  family, household, home"
听,"tīng   -  hear, listen"
所有,"suǒyǒu   -  all"
只要,"zhǐyào   -  conj.: so long as, provided"
